,boost,best integer len,# iterations,AVG integer len,STD ,Optimum,Rel error
eil76.tsp,True,601.0,1341,828.7352459016395,18.438481977565257,538.0,11.71003717472119
ch130.tsp,True,6661.0,368,9783.071815718156,238.22655602802593,6110.0,9.018003273322423
d198.tsp,True,17483.0,126,24178.903149606296,604.656350625944,15780.0,10.792141951837769
eil76.tsp,False,621.0,2219,829.5960810810811,18.422852484104723,538.0,15.427509293680297
ch130.tsp,False,7856.0,548,9768.697632058287,230.03449906355388,6110.0,28.57610474631751
d198.tsp,False,19508.0,166,24155.075449101798,564.3806376265865,15780.0,23.624841571609632
eil76.tsp,True,561.0,1690,829.2830869308103,17.704541347367662,538.0,4.275092936802974
ch130.tsp,True,7211.0,464,9771.329892473119,228.00981074202073,6110.0,18.01963993453355
d198.tsp,True,17306.0,158,24162.712578616352,543.7520073545987,15780.0,9.670468948035488
eil76.tsp,False,644.0,2380,829.0293154136916,18.113171385756253,538.0,19.702602230483272
ch130.tsp,False,7274.0,583,9782.457534246574,236.7343429998358,6110.0,19.050736497545007
d198.tsp,False,19389.0,179,24152.50388888889,605.2155647521054,15780.0,22.870722433460077
eil76.tsp,True,583.0,1896,828.7021085925146,18.07642726742984,538.0,8.364312267657992
ch130.tsp,True,6493.0,197,9775.780808080808,240.91496621173522,6110.0,6.268412438625204
d198.tsp,True,19739.0,71,24119.102777777778,616.431365236909,15780.0,25.08871989860583
eil76.tsp,False,638.0,665,828.5987987987987,19.420357072602602,538.0,18.587360594795538
ch130.tsp,False,7742.0,209,9764.742380952383,241.90135270797916,6110.0,26.710310965630114
d198.tsp,False,19566.0,43,24106.11818181818,750.7269689721749,15780.0,23.992395437262356
