,boost,best integer len,# iterations,AVG integer len,STD ,Optimum,Rel error
eil76.tsp,False,803.0,1621,1160.495561035758,31.05422337096075,538.0,49.25650557620818
ch130.tsp,False,10603.0,392,15160.285496183209,469.5063988847336,6110.0,73.53518821603927
d198.tsp,False,26378.0,123,34798.992741935486,1129.931433273247,15780.0,67.16096324461344
eil76.tsp,True,598.0,1254,1160.698406374502,31.284915052001587,538.0,11.152416356877323
ch130.tsp,True,6652.0,376,15165.753315649867,440.9209554570468,6110.0,8.870703764320785
d198.tsp,True,17553.0,134,34922.03111111111,1283.489591264359,15780.0,11.23574144486692
eil76.tsp,False,812.0,1670,1159.367025733094,31.363050957469014,538.0,50.92936802973978
ch130.tsp,False,11142.0,118,15024.763865546218,514.2018095681975,6110.0,82.35679214402619
d198.tsp,False,24056.0,77,34605.225641025645,1258.4380554252714,15780.0,52.446134347275034
eil76.tsp,True,589.0,812,1158.2142681426815,32.09221672813963,538.0,9.479553903345725
ch130.tsp,True,7085.0,120,15097.190082644629,475.5482548717464,6110.0,15.957446808510639
d198.tsp,True,18279.0,75,34557.82894736842,1242.930232916913,15780.0,15.836501901140684
eil76.tsp,False,829.0,900,1158.878246392897,31.419159583504797,538.0,54.089219330855016
ch130.tsp,False,11025.0,217,15136.947247706423,453.6254725797029,6110.0,80.44189852700491
d198.tsp,False,26900.0,70,34587.32676056337,1233.1125203627698,15780.0,70.46894803548795
eil76.tsp,True,608.0,636,1160.6833594976454,33.49532931217492,538.0,13.011152416356877
ch130.tsp,True,6863.0,213,15140.764485981306,470.4139133361702,6110.0,12.324058919803601
d198.tsp,True,20959.0,75,34670.378947368416,1034.6656442282497,15780.0,32.82002534854246
eil76.tsp,False,617.0,1321,762.4173222390317,12.726327236578141,538.0,14.684014869888475
ch130.tsp,False,7177.0,333,8680.580538922157,153.65361994000546,6110.0,17.46317512274959
d198.tsp,False,18328.0,102,22104.69029126214,471.7205729400261,15780.0,16.14702154626109
eil76.tsp,True,571.0,988,762.4085945399393,13.236754332702485,538.0,6.133828996282528
ch130.tsp,True,6728.0,381,8676.021989528796,154.64590845984776,6110.0,10.11456628477905
d198.tsp,True,17940.0,176,22105.357627118643,415.6649368541479,15780.0,13.688212927756654
eil76.tsp,False,620.0,1279,762.397421875,12.853548315184081,538.0,15.241635687732343
ch130.tsp,False,6908.0,326,8687.035168195718,158.95524330709827,6110.0,13.060556464811784
d198.tsp,False,18801.0,102,22048.772815533972,422.48863837062754,15780.0,19.14448669201521
eil76.tsp,True,594.0,945,762.6337209302326,12.168297209519602,538.0,10.408921933085502
ch130.tsp,True,6707.0,378,8688.283113456464,139.35181471246545,6110.0,9.770867430441898
d198.tsp,True,18591.0,111,22091.951785714286,475.35303741049415,15780.0,17.813688212927758
eil76.tsp,False,621.0,1656,762.5635485817743,12.465795769737516,538.0,15.427509293680297
ch130.tsp,False,7216.0,446,8681.068008948547,145.2979497841313,6110.0,18.101472995090017
d198.tsp,False,18106.0,139,22123.754285714287,434.106257297093,15780.0,14.740177439797211
eil76.tsp,True,571.0,1300,762.2694081475788,12.742092013220779,538.0,6.133828996282528
ch130.tsp,True,6645.0,518,8686.819267822737,157.5757577677251,6110.0,8.756137479541735
d198.tsp,True,18008.0,236,22136.795780590717,403.57162387116733,15780.0,14.1191381495564
eil76.tsp,False,632.0,1594,801.3872727272727,15.899932604426548,538.0,17.472118959107807
ch130.tsp,False,7446.0,400,9315.780049875311,201.92467275528563,6110.0,21.865793780687397
d198.tsp,False,19000.0,109,23343.15454545455,607.3618170769178,15780.0,20.40557667934094
eil76.tsp,True,578.0,1192,801.7113998323554,16.01860467373626,538.0,7.434944237918216
ch130.tsp,True,6864.0,458,9325.245315904138,213.50764180672206,6110.0,12.340425531914894
d198.tsp,True,17914.0,195,23299.159183673473,512.1083951020794,15780.0,13.523447401774398
eil76.tsp,False,635.0,1593,801.0548933500627,16.440517985713317,538.0,18.029739776951672
ch130.tsp,False,7535.0,398,9316.034837092731,209.85306320077368,6110.0,23.32242225859247
d198.tsp,False,19415.0,125,23301.059523809527,566.9023858723033,15780.0,23.03548795944233
eil76.tsp,True,609.0,1237,801.2781906300484,15.994388433026623,538.0,13.197026022304833
ch130.tsp,True,6742.0,437,9318.565753424658,191.99728074499765,6110.0,10.343698854337152
d198.tsp,True,18636.0,194,23403.64871794872,527.823765397949,15780.0,18.098859315589355
eil76.tsp,False,630.0,1613,800.0732961586122,15.952428487136281,538.0,17.100371747211895
ch130.tsp,False,7576.0,394,9309.826582278482,197.7470288524324,6110.0,23.993453355155484
d198.tsp,False,19806.0,125,23270.92619047619,594.9092033134762,15780.0,25.513307984790874
eil76.tsp,True,571.0,1236,801.1741309620048,15.935883868084028,538.0,6.133828996282528
ch130.tsp,True,6848.0,459,9299.15108695652,194.1453476665296,6110.0,12.078559738134206
d198.tsp,True,18059.0,195,23338.625,498.321965155694,15780.0,14.44233206590621
